person_id,age,sex,geo_unit
0,0,female,CT00001
3,0,female,CT00001
6,0,female,CT00001
7,0,female,CT00001
11,0,female,CT00001
12,0,female,CT00001
13,0,female,CT00001
20,0,female,CT00001
21,0,female,CT00001
22,0,female,CT00002
23,0,female,CT00002
24,0,female,CT00002
26,0,female,CT00002
27,0,female,CT00002
28,0,female,CT00002
29,0,female,CT00002
30,0,female,CT00002
33,0,female,CT00002
36,0,female,CT00003
37,0,female,CT00003
38,0,female,CT00003
39,0,female,CT00003
44,0,female,CT00003
45,0,female,CT00003
48,0,female,CT00003
49,0,female,CT00003
50,0,female,CT00003
51,0,female,CT00003
53,0,female,CT00003
55,0,female,CT00004
56,0,female,CT00004
58,0,female,CT00004
60,0,female,CT00004
65,0,female,CT00004
67,0,female,CT00004
69,0,female,CT00004
71,0,female,CT00004
74,0,female,CT00004
75,0,female,CT00004
76,0,female,CT00004
77,0,female,CT00004
78,0,female,CT00004
79,0,female,CT00004
80,0,female,CT00004
82,0,female,CT00004
83,0,female,CT00004
84,0,female,CT00004
88,0,female,CT00004
90,0,female,CT00004
92,0,female,CT00004
94,0,female,CT00004
95,0,female,CT00004
97,0,female,CT00004
101,0,female,CT00004
103,0,female,CT00004
107,0,female,CT00004
108,0,female,CT00004
109,0,female,CT00004
113,0,female,CT00004
118,0,female,CT00004
119,0,female,CT00004
123,0,female,CT00004
126,0,female,CT00004
129,0,female,CT00004
130,0,female,CT00004
132,0,female,CT00004
133,0,female,CT00004
134,0,female,CT00004
135,0,female,CT00004
138,0,female,CT00004
139,0,female,CT00004
141,0,female,CT00004
143,0,female,CT00004
146,0,female,CT00004
150,0,female,CT00004
153,0,female,CT00004
154,0,female,CT00004
156,0,female,CT00004
158,0,female,CT00004
160,0,female,CT00004
161,0,female,CT00004
163,0,female,CT00004
165,0,female,CT00004
167,0,female,CT00004
168,0,female,CT00004
171,0,female,CT00004
177,0,female,CT00004
184,0,female,CT00004
186,0,female,CT00004
189,0,female,CT00004
191,0,female,CT00004
195,0,female,CT00005
200,0,female,CT00005
205,0,female,CT00006
206,0,female,CT00006
207,0,female,CT00007
208,0,female,CT00007
209,0,female,CT00007
215,0,female,CT00007
216,0,female,CT00007
217,0,female,CT00007
218,0,female,CT00007
219,0,female,CT00007
221,0,female,CT00007
224,0,female,CT00007
225,0,female,CT00008
230,0,female,CT00008
232,0,female,CT00008
234,0,female,CT00008
236,0,female,CT00008
237,0,female,CT00008
238,0,female,CT00008
241,0,female,CT00008
244,0,female,CT00008
245,0,female,CT00008
247,0,female,CT00008
249,0,female,CT00008
250,0,female,CT00008
252,0,female,CT00008
253,0,female,CT00008
254,0,female,CT00008
257,0,female,CT00008
258,0,female,CT00008
261,0,female,CT00008
263,0,female,CT00008
266,0,female,CT00008
268,0,female,CT00008
271,0,female,CT00008
273,0,female,CT00009
276,0,female,CT00009
282,0,female,CT00009
283,0,female,CT00009
284,0,female,CT00009
286,0,female,CT00009
287,0,female,CT00009
288,0,female,CT00009
293,0,female,CT00009
295,0,female,CT00009
296,0,female,CT00009
298,0,female,CT00009
300,0,female,CT00009
301,0,female,CT00009
304,0,female,CT00009
307,0,female,CT00009
308,0,female,CT00009
309,0,female,CT00009
310,0,female,CT00009
314,0,female,CT00009
315,0,female,CT00009
316,0,female,CT00009
317,0,female,CT00009
319,0,female,CT00009
321,0,female,CT00009
322,0,female,CT00009
326,0,female,CT00010
328,0,female,CT00010
330,0,female,CT00010
332,0,female,CT00010
333,0,female,CT00010
346,0,female,CT00010
348,0,female,CT00010
350,0,female,CT00010
352,0,female,CT00010
353,0,female,CT00010
354,0,female,CT00010
355,0,female,CT00010
357,0,female,CT00010
359,0,female,CT00010
360,0,female,CT00010
362,0,female,CT00010
363,0,female,CT00010
365,0,female,CT00010
368,0,female,CT00010
369,0,female,CT00010
373,0,female,CT00011
374,0,female,CT00011
375,0,female,CT00011
376,0,female,CT00011
382,0,female,CT00012
383,0,female,CT00012
385,0,female,CT00012
386,0,female,CT00012
387,0,female,CT00012
388,0,female,CT00012
393,0,female,CT00013
397,0,female,CT00013
398,0,female,CT00013
399,0,female,CT00013
400,0,female,CT00013
401,0,female,CT00013
406,0,female,CT00013
407,0,female,CT00013
408,0,female,CT00013
411,0,female,CT00013
413,0,female,CT00013
416,0,female,CT00013
418,0,female,CT00014
430,0,female,CT00014
434,0,female,CT00014
439,0,female,CT00014
